snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,rayleigh_multiples,runs,successes,success_rate,success_ci95_low,success_ci95_high,mean_max_frequency_error_hz_if_success,median_condition_design,ill_conditioned_rate,mean_runtime_seconds
-18.0,1:1,1,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,6.503405803299334e-05,1.0106923302382302,0.0,2.605015783000108
-18.0,1:1,1,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,6.250938930737249e-05,1.0599876026953186,0.0,1.9593920514999081
-18.0,1:1,1,0.01,4.0,200,200,1.0,0.9811539940816791,1.0,6.121720708458068e-05,1.0053505151436999,0.0,1.753104228000102
-18.0,1:1,1,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,6.084213036584352e-05,1.003052062100347,0.0,1.948116431999988
-18.0,1:1,1,0.02,8.0,200,200,1.0,0.9811539940816791,1.0,7.61962323005605e-05,1.0029723370571904,0.0,1.210422127500151
-18.0,1:3,3,0.001,0.4,200,107,0.535,0.46586521028994954,0.6028155692957681,0.00012012502929325058,2.349474964737005,0.0,2.016953615500079
-18.0,1:3,3,0.002,0.8,200,174,0.87,0.8163353692726989,0.9097185863477437,0.00013275783657804114,1.2852360010450825,0.0,2.6576403359997856
-18.0,1:3,3,0.0025,1.0,200,199,0.995,0.9722256001302286,0.999116854010634,0.00011347511108872221,1.0248559688283225,0.0,2.715966222999814
-18.0,1:3,3,0.003,1.2,200,200,1.0,0.9811539940816791,1.0,5.5372391778627516e-05,1.1723657208266474,0.0,2.684352179000052
-18.0,1:3,3,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,5.226761813382108e-05,1.2117533293868916,0.0,2.5919670490000497
-18.0,1:3,3,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,4.6734445446694474e-05,1.0076428432309417,0.0,2.6565335535000303
-18.0,1:3,3,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,4.948095111428685e-05,1.0602032123330518,0.0,2.0336413200000605
-18.0,1:3,3,0.01,4.0,200,200,1.0,0.9811539940816791,1.0,4.5327244385293674e-05,1.004053606790135,0.0,1.9754881414999546
-18.0,1:3,3,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,4.839005070160329e-05,1.0025903688682811,0.0,2.0894468799999233
-18.0,1:3,3,0.02,8.0,200,200,1.0,0.9811539940816791,1.0,5.012828041383255e-05,1.002086602822264,0.0,0.43868439149988264
-18.0,1:10,10,0.001,0.4,200,84,0.42,0.3537348235017175,0.48928053744521394,0.00011119027850156218,2.5134182920444585,0.0,2.2150653624999905
-18.0,1:10,10,0.002,0.8,200,149,0.745,0.6803694869280502,0.8003959701719726,0.000130238742036177,1.2768408687105652,0.0,3.132617587999921
-18.0,1:10,10,0.0025,1.0,200,166,0.83,0.7718399896049648,0.8757216464889435,0.0001002717329405421,1.0390653928610079,0.0,3.3656156479998756
-18.0,1:10,10,0.003,1.2,200,198,0.99,0.9642775148038205,0.9972533993962251,6.415313456054846e-05,1.175351336881489,0.0,2.69133114549968
-18.0,1:10,10,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,4.6287459680502964e-05,1.210649845437333,0.0,2.654744712499887
-18.0,1:10,10,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,4.371052658866947e-05,1.0075768136416776,0.0,2.66020181099997
-18.0,1:10,10,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,4.23103820426185e-05,1.0607964808717176,0.0,2.136657973499823
-18.0,1:10,10,0.01,4.0,200,200,1.0,0.9811539940816791,1.0,4.0104418455393364e-05,1.003479187253118,0.0,2.0050117239999965
-18.0,1:10,10,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,4.682637537424483e-05,1.0027143373851564,0.0,2.0206746674999523
-18.0,1:10,10,0.02,8.0,200,200,1.0,0.9811539940816791,1.0,4.3717318684830534e-05,1.0017878784763563,0.0,0.42042730149987617
