amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_conditional_glrt_statistic,main_conditional_glrt_threshold,main_frequency_ci_reliable,main_frequency_1_se_hz,main_frequency_2_se_hz,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,20,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-22.699715313123306,peel_residual_rescan,4.562114653297238,3.029901970560284,5.291862556499362,False,nan,nan,2.5e-05,1.098641992613927,1.2070142279347,0.9519462587164383,5,5,False,1,nan,False,2.5e-05,0.3244802000117488,0.016983100038487464,13.490865432096468,nan,13.5,nan
equal,0.00025,21,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-400.96636062741163,peel_residual_rescan,5.350879901753617,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0235636680100637,1.0476825824702158,0.9882883586965346,5,5,False,1,nan,False,2.5e-05,0.3159653000184335,0.018904900003690273,13.498075048073547,nan,13.5,nan
equal,0.00025,22,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-26.435749569063773,peel_residual_rescan,5.456743332483879,1.7845503180001365,5.291862556499362,False,nan,nan,2.5e-05,1.0775800919587224,1.1611788545857686,0.9619879742867634,5,5,False,2,0.007600000000000051,False,2.5e-05,0.32002780004404485,0.01724419998936355,13.501524961926203,nan,13.500625,13.507475
equal,0.00025,23,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-24.11440900436719,peel_residual_rescan,10.936300883216955,2.5583211107637656,5.291862556499362,False,nan,nan,2.5e-05,1.0921908734386911,1.192880904022771,0.9550090364248897,5,5,False,1,nan,False,2.5e-05,0.3289415000472218,0.015993400011211634,13.498250043698658,nan,13.5,nan
equal,0.00025,24,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-24.85535417823121,fine_grid_secondary_peak,2.882128427834529,2.311337506121914,5.291862556499362,False,nan,nan,2.5e-05,1.124186106683195,1.26379440245952,0.939932154852754,5,5,False,1,nan,False,2.5e-05,0.25353099999483675,0.017952300026081502,13.495445142017843,nan,13.500025,nan
equal,0.00025,25,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-588.1661432107794,peel_residual_rescan,9.60383668210145,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.1253291534160754,1.266365703528141,0.939398804377284,5,5,False,1,nan,False,2.5e-05,0.3324897999991663,0.024483799992594868,13.502228623294627,nan,13.50005,nan
equal,0.00025,26,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-26.62950437172549,fine_grid_secondary_peak,3.577337175018842,1.7199681983634534,5.291862556499362,False,nan,nan,2.5e-05,1.1096234993585958,1.2312643103288157,0.9467591006035168,5,5,False,1,nan,False,2.5e-05,0.373915100004524,0.022268800006713718,13.498250043698658,nan,13.500025,nan
equal,0.00025,27,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-7.341391175694298,fine_grid_secondary_peak,9.96322100559434,8.1505937742632,5.291862556499362,False,nan,nan,2.5e-05,1.5613262140229855,2.4377395465953495,0.7627434923724794,5,5,False,1,nan,False,2.5e-05,0.38204690004931763,0.023113400035072118,13.498300042448689,nan,13.500025,nan
equal,0.00025,28,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-22.777104924898595,adaptive_split_1.50_over_T,3.9789964793099344,3.0041041106164816,5.291862556499362,False,nan,nan,2.5e-05,1.2359764426659345,1.5276377668251382,0.889523820981575,5,5,False,1,nan,False,2.5e-05,0.3772952000144869,0.021604300010949373,13.50182495442639,nan,13.499925,nan
equal,0.00025,29,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-27.47858714053291,adaptive_split_1.50_over_T,5.042512740210278,1.4369566320606575,5.291862556499362,False,nan,nan,2.5e-05,1.2464949906058755,1.5537497616055418,0.8849644567726749,5,5,False,1,nan,False,2.5e-05,0.3740533000091091,0.023491300002206117,13.498200044948625,nan,13.4998,nan
