case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz
very_low_snr_-30,45,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.163923000000068,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,46,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.00668980000045849,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,47,40001,4,4,1,False,9.999620389592176,gaussian,True,1.0000032793669045,False,0.1761398000016925,3.99999818;7.99992873;13.0000886;14.0000242,13.9996186
very_low_snr_-30,48,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.007174699996539857,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,49,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006710800000291783,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,50,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.006734900001902133,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,51,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.0084703000029549,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,52,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.18685700000060024,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,53,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.010731800000939984,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,54,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.15623429999686778,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,55,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.008783400000538677,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,56,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.009165100003883708,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,57,40001,4,4,0,False,nan,gaussian,True,1.0,False,0.008223400000133552,3.99999818;7.99992873;13.0000886;14.0000242,
very_low_snr_-30,58,40001,4,4,1,False,9.999843095647355,gaussian,True,1.0000197672273634,False,0.15611060000082944,3.99999818;7.99992873;13.0000886;14.0000242,13.9998413
