snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,replicate,center_hz,true_frequency_1_hz,true_frequency_2_hz,weak_amplitude,strong_amplitude,noise_std,phase_1_rad,phase_2_rad,phase_difference_abs_rad,phase_bin,detector,estimated_k,success,max_frequency_error_hz,tolerance_hz,estimated_frequencies_hz,bic_improvement,candidate_origin,conditional_glrt_statistic,conditional_glrt_threshold,condition_design,ill_conditioned,runtime_seconds,signal_generation_runtime_seconds,detector_runtime_seconds,trial_total_runtime_seconds,fit_backend
-12.0,1:3,3,0.004,7,5.0,4.998,5.002,0.01,0.03,0.028150427993736734,1.2106417563733558,0.38380950428121796,0.8268322520921378,2,complete,2,True,1.8377693047355592e-06,0.001,4.99799816223;5.00200040963,2209.497056511347,local_close_pair_resolver,nan,nan,1.2107471785129325,False,1.4254218999994919,0.0014894000050844625,1.4254218999994919,1.426989899999171,cached
-12.0,1:10,10,0.001,0,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,0.8517388958955086,1.7651151655709976,0.913376269675489,2,complete,2,True,0.0001871364516015106,0.00025,4.99968713645;5.00048563823,765.2464035184821,local_close_pair_resolver,nan,nan,3.396387217546075,False,1.6092423000009148,0.0015835000012884848,1.6092423000009148,1.6109030000006896,cached
-12.0,1:10,10,0.001,1,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,-1.0845033588158337,-0.16107493504537507,0.9234284237704586,2,complete,2,True,0.00012142882434584834,0.00025,4.99962142882;5.00047773429,783.7675770275528,local_close_pair_resolver,nan,nan,3.1595503322033185,False,1.4354146999976365,0.0014387999981408939,1.4354146999976365,1.4369842000014614,cached
-12.0,1:10,10,0.001,2,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,-0.1182661707717223,2.405659294269195,2.523925465040917,6,complete,2,False,0.0006265367533808686,0.00025,5.00012653675;5.00034458923,514.5889626980643,local_close_pair_resolver,nan,nan,12.627616565624681,False,1.4298769000015454,0.0015112999972188845,1.4298769000015454,1.4315182999998797,cached
-12.0,1:10,10,0.001,3,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,1.5965290506368772,-1.1163058848374288,2.712834935474306,6,complete,2,True,6.625480776012438e-05,0.00025,4.99956625481;5.00050139168,960.6640465431847,local_close_pair_resolver,nan,nan,2.8831526283682503,False,1.4493079999956535,0.0017541999986860901,1.4493079999956535,1.451136999996379,cached
-12.0,1:10,10,0.001,4,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,2.9166810406347796,-2.2151556633962914,1.151348603148515,2,complete,3,False,nan,0.00025,4.9995798261;5.00050329774;5.00341382966,91.12784114381066,split_0.10_over_T,nan,nan,3.000369496050276,False,3.691137499998149,0.001615599998331163,3.691137499998149,3.693039799996768,cached
-12.0,1:10,10,0.001,5,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,-1.7925479163257372,0.769453329245299,2.562001245571036,6,complete,3,False,nan,0.00025,4.99895591041;5.00060487208;5.00095851932,101.41179664316587,split_0.10_over_T,nan,nan,13.462959140461095,False,3.635937900005956,0.0032825000016600825,3.635937900005956,3.639307600002212,cached
-12.0,1:10,10,0.001,6,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,-0.7646689828931827,-2.4438519566729395,1.6791829737797568,4,complete,2,False,0.0005229086865883303,0.00025,5.00002290869;5.00062089484,257.2192688975483,split_0.25_over_T,nan,nan,4.567795275619323,False,1.4416590000037104,0.0014853999964543618,1.4416590000037104,1.443270299998403,cached
-12.0,1:10,10,0.001,7,5.0,4.9995,5.0005,0.01,0.1,0.028150427993736734,2.5254134991069437,-0.7764884153222016,2.9812833927504414,7,complete,2,True,6.348962070656938e-05,0.00025,4.99956348962;5.0004866961,957.2689696997986,local_close_pair_resolver,nan,nan,2.921986133767665,False,1.4076596000013524,0.0025491999986115843,1.4076596000013524,1.4102891000002273,cached
-12.0,1:10,10,0.002,0,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,2.0266561227353,0.4583184958841109,1.5683376268511893,3,complete,2,True,0.00012979939776602833,0.0005,4.9991297994;5.00101275612,1764.7219201637781,split_0.25_over_T,nan,nan,1.3565865804171064,False,1.3044156000032672,0.001443299996026326,1.3044156000032672,1.3059423999948194,cached
-12.0,1:10,10,0.002,1,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,1.5631295382493606,-1.289680117132417,2.852809655381778,7,complete,3,False,nan,0.0005,4.9972814374;4.99922547228;5.0010124175,117.50849984580418,split_0.65_over_T,nan,nan,1.7415930017764658,False,3.7597506000020076,0.0014283999989856966,3.7597506000020076,3.761244999994233,cached
-12.0,1:10,10,0.002,2,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,-2.978663873143195,1.2051153942984607,2.099406039737931,5,complete,3,False,nan,0.0005,4.99901894287;5.00100375787;5.00214903028,150.37346314435126,split_0.65_over_T,nan,nan,2.913244530295273,False,3.660899499998777,0.0015915999974822626,3.660899499998777,3.66253859999415,cached
-12.0,1:10,10,0.002,3,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,2.3918000054443977,-1.0526889521353273,2.8386963495998616,7,complete,2,True,6.423709004810263e-05,0.0005,4.99906423709;5.00100150236,1798.5542783942074,local_close_pair_resolver,nan,nan,1.3145586151794968,False,1.4593756000031135,0.001980200002435595,1.4593756000031135,1.4614379999984521,cached
-12.0,1:10,10,0.002,4,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,-0.586881637124903,0.08626007059628371,0.6731417077211868,1,complete,2,True,0.0004491524146059689,0.0005,4.99855084759;5.00103707783,1074.3370921011083,residual_peak,nan,nan,1.0055448255376565,False,1.400696800003061,0.0020762999993166886,1.400696800003061,1.4028305999963777,cached
-12.0,1:10,10,0.002,5,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,-2.4400744552153215,1.1540245252415389,2.6890863267227263,6,complete,3,False,nan,0.0005,4.9991701985;5.00103346488;5.00125912541,88.2238938275259,split_0.65_over_T,nan,nan,18.944581736327468,False,3.7843729999949574,0.002784199998131953,3.7843729999949574,3.7872040000002016,cached
-12.0,1:10,10,0.002,6,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,-2.217296722769818,-2.3762363201045122,0.15893959733469432,0,complete,2,True,5.912848668732096e-05,0.0005,4.99894087151;5.00100346531,1751.2658066991135,local_close_pair_resolver,nan,nan,1.2267176732310443,False,1.4235246000025654,0.0016106999973999336,1.4235246000025654,1.4252811999976984,cached
-12.0,1:10,10,0.002,7,5.0,4.999,5.001,0.01,0.1,0.028150427993736734,0.3002478873598191,2.680104883169972,2.3798569958101528,6,complete,2,True,2.060469393239117e-05,0.0005,4.99897939531;5.00099582646,2365.6679716272047,residual_peak,nan,nan,1.2576690485230402,False,1.4575871999986703,0.0017215999978361651,1.4575871999986703,1.4593821999951615,cached
-12.0,1:10,10,0.0025,0,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,0.29404244945174396,-0.7333455681011518,1.0273880175528958,2,complete,2,True,2.7017852257671393e-05,0.000625,4.99877701785;5.00124834712,2264.6192863410106,local_close_pair_resolver,nan,nan,1.01167376692064,False,1.425278699993214,0.0016381000023102388,1.425278699993214,1.4269937999997637,cached
-12.0,1:10,10,0.0025,1,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,2.387964285990682,2.377999277455669,0.00996500853501292,0,complete,2,True,0.00027480447116001727,0.000625,4.99847519553;5.00127182919,1779.8588801985024,local_close_pair_resolver,nan,nan,1.1096267949638108,False,1.4450284000049578,0.0019566999981179833,1.4450284000049578,1.4470491999963997,cached
-12.0,1:10,10,0.0025,2,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,-0.13293568827598445,-1.7041972004433057,1.5712615121673212,4,complete,2,True,7.77816723296354e-06,0.000625,4.99874222183;5.00125118047,2419.4341521577444,local_close_pair_resolver,nan,nan,1.003626339359767,False,1.4366569999983767,0.004288100004487205,1.4366569999983767,1.441012100003718,cached
-12.0,1:10,10,0.0025,3,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,-1.7489287444633568,-2.3895751502818574,0.6406464058185006,1,complete,2,True,0.00010481951692842273,0.000625,4.99864518048;5.00125868348,1944.2207722677267,local_close_pair_resolver,nan,nan,1.044301266717299,False,1.4600250000003143,0.00159939999866765,1.4600250000003143,1.4616864999989048,cached
-12.0,1:10,10,0.0025,4,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,-2.636110532491689,-0.47791658386612834,2.1581939486255606,5,complete,2,True,4.6579444124894565e-05,0.000625,4.99879657944;5.00125022076,2255.216954771371,local_close_pair_resolver,nan,nan,1.0190722501890035,False,1.4474564000047394,0.003329300001496449,1.4474564000047394,1.450913299995591,cached
-12.0,1:10,10,0.0025,5,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,1.1788310129085353,1.704386720502674,0.5255557075941386,1,complete,2,True,0.00015046851561439922,0.000625,4.99859953148;5.00126125892,1900.780949608772,local_close_pair_resolver,nan,nan,1.0623144655251522,False,1.3651040000040666,0.0015913000024738722,1.3651040000040666,1.3667580999972415,cached
-12.0,1:10,10,0.0025,6,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,0.0015608053703215496,0.6161789916190505,0.614618186248729,1,complete,2,True,1.5180773452527774e-05,0.000625,4.99873481923;5.00124768381,1979.3456485526403,local_close_pair_resolver,nan,nan,1.0051807371523804,False,1.378494700002193,0.0015246000039041974,1.378494700002193,1.380094400003145,cached
-12.0,1:10,10,0.0025,7,5.0,4.99875,5.00125,0.01,0.1,0.028150427993736734,1.987015021038994,0.16418776391472356,1.8228272571242705,4,complete,2,True,2.6703098673586112e-05,0.000625,4.9987767031;5.0012508637,2447.114718567522,local_close_pair_resolver,nan,nan,1.0105045157499066,False,1.4192764000035822,0.0013965999969514087,1.4192764000035822,1.4207344000024023,cached
-12.0,1:10,10,0.003,0,5.0,4.9985,5.0015,0.01,0.1,0.028150427993736734,2.774165187368836,2.5153312246966895,0.25883396267214653,0,complete,2,True,6.909203080773807e-05,0.00075,4.99843090797;5.00150309356,2179.2568660645047,local_close_pair_resolver,nan,nan,1.188063804705536,False,1.3951174000030733,0.0015787000011187047,1.3951174000030733,1.3967526999986148,cached
-12.0,1:10,10,0.003,1,5.0,4.9985,5.0015,0.01,0.1,0.028150427993736734,-0.7691913307388911,-1.4016860699122557,0.6324947391733646,1,complete,2,True,8.420291564714688e-05,0.00075,4.99841579708;5.00150238973,2263.875634929107,local_close_pair_resolver,nan,nan,1.191356814001038,False,1.404314899999008,0.0015293999967980199,1.404314899999008,1.4059133999980986,cached
-12.0,1:10,10,0.003,2,5.0,4.9985,5.0015,0.01,0.1,0.028150427993736734,1.5484227233953138,-1.7702036662166274,2.9645589175676457,7,complete,2,True,1.6448807194535675e-05,0.00075,4.99848355119;5.00149729413,2178.086799112032,local_close_pair_resolver,nan,nan,1.1738208523311155,False,1.3721280000027036,0.001461899999412708,1.3721280000027036,1.3736822999999276,cached
-12.0,1:10,10,0.003,3,5.0,4.9985,5.0015,0.01,0.1,0.028150427993736734,3.0987014020949086,-0.08833820791729563,3.0961456971673824,7,complete,2,True,2.958111423367882e-06,0.00075,4.99849982744;5.00150295811,2223.4754348898423,local_close_pair_resolver,nan,nan,1.171087693746295,False,1.396302299996023,0.0013869999966118485,1.396302299996023,1.3978403999935836,cached
