weak_to_nearest_strong_distance_hz,replicate,sample_count,true_k,estimated_k,weak_detected,strong_components_detected,correct_order,over_estimated,weak_frequency_error_hz,strong_frequency_mae_hz,strong_amplitudes,estimated_frequencies_hz,accepted_iterations,condition_design,ill_conditioned,runtime_seconds
0.5,98,40001,4,4,True,True,True,False,4.700966899218173e-05,3.0001469201105618e-05,0.0362369221;0.0381437904;0.0424975531,2.99995299;3.49995248;10.4999884;14.0000309,4,1.000120394076031,False,1.9419164999999339
0.5,99,40001,4,4,True,True,True,False,3.761705710925156e-05,1.4815318905903041e-05,0.0452913942;0.0365812047;0.0460399773,2.99996238;3.49997089;10.50001;13.9999947,4,1.0001174716547088,False,1.8955520999988948
0.5,100,40001,4,3,False,True,False,False,0.49999387150153396,3.198467804092312e-05,0.0354382658;0.045815707;0.0302087709,3.49999387;10.4999938;14.0000837,3,1.000116747552682,False,1.956305899999279
0.5,101,40001,4,4,True,True,True,False,0.00016910981721984797,2.412105161120337e-05,0.0353840057;0.0310236346;0.0349573879,3.00016911;3.50004107;10.5000236;14.0000077,4,1.0002888972993633,False,2.080225599998812
0.5,102,40001,4,3,False,True,False,False,0.5000148740201897,2.377653734934408e-05,0.0438339404;0.0413069773;0.0386464211,3.50001487;10.4999596;14.0000161,3,1.0001006939351778,False,2.1684568999990006
0.5,103,40001,4,4,True,True,True,False,2.8978157352810285e-05,2.292516544540509e-05,0.0445495722;0.0411821547;0.0448485314,3.00002898;3.50003526;10.5000032;14.0000303,4,1.0001381127156028,False,2.0837809999975434
0.5,104,40001,4,4,True,True,True,False,0.00019790049810186616,1.8977167838348425e-05,0.046783105;0.0328412094;0.0448940898,3.0001979;3.50000426;10.5000214;14.0000313,4,1.0004164864856528,False,2.0716862000008405
0.5,105,40001,4,4,True,True,True,False,5.654314776482039e-05,1.4280502353969382e-05,0.0457081173;0.0336764443;0.0336898301,3.00005654;3.49996928;10.5000042;13.9999921,4,1.000178950651515,False,2.025539900001604
0.5,106,40001,4,4,True,True,True,False,2.982889488212237e-05,2.5647472582897752e-05,0.0390816552;0.0338277765;0.0363079533,2.99997017;3.50002686;10.500035;14.0000151,4,1.0002062003314953,False,1.954473699999653
0.5,107,40001,4,4,True,True,True,False,0.0001845452747826215,4.451072503138439e-05,0.030960279;0.0491863667;0.030117128,2.99981545;3.50004145;10.5000236;14.0000685,4,1.0004950128612795,False,1.968832200000179
