case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz,candidate_origin,residual_peak_ratio
very_low_snr_-25,60,40001,4,4,1,False,9.999916332545613,gaussian,True,1.0000270944064982,False,0.2830320000066422,3.99999817;7.99992857;13.0000889;14.0000235,13.9999145,,nan
very_low_snr_-25,61,40001,4,4,2,False,5.000241566155283,gaussian,True,1.000101974135946,False,0.33762189996195957,3.99999817;7.99992857;13.0000889;14.0000235,8.00016768;14.0002422,,nan
very_low_snr_-25,62,40001,4,4,1,False,10.000280840026019,gaussian,True,1.0000590100004276,False,0.28068560000974685,3.99999817;7.99992857;13.0000889;14.0000235,14.000279,,nan
very_low_snr_-25,63,40001,4,4,1,False,10.000247848841404,gaussian,True,1.000056538148226,False,0.3506290999939665,3.99999817;7.99992857;13.0000889;14.0000235,14.000246,,nan
very_low_snr_-25,64,40001,4,4,2,False,5.000037128912412,gaussian,True,1.0001204174577303,False,0.2889687000424601,3.99999817;7.99992857;13.0000889;14.0000235,7.99980699;14.000194,,nan
very_low_snr_-25,65,40001,4,4,1,False,9.999884945810653,gaussian,True,1.0000239782891922,False,0.2771488000289537,3.99999817;7.99992857;13.0000889;14.0000235,13.9998831,,nan
very_low_snr_-25,66,40001,4,4,1,False,10.000206835408513,gaussian,True,1.000053330244939,False,0.3252564000431448,3.99999817;7.99992857;13.0000889;14.0000235,14.000205,,nan
very_low_snr_-25,67,40001,4,4,1,False,10.000110079149561,gaussian,True,1.0000452171686856,False,0.12678980000782758,3.99999817;7.99992857;13.0000889;14.0000235,14.0001083,,nan
very_low_snr_-25,68,40001,4,4,1,False,9.999864556137233,gaussian,True,1.0000219336787768,False,0.2559008999960497,3.99999817;7.99992857;13.0000889;14.0000235,13.9998627,,nan
very_low_snr_-25,69,40001,4,4,1,False,9.999888767555198,gaussian,True,1.0000243598094076,False,0.2870837000082247,3.99999817;7.99992857;13.0000889;14.0000235,13.9998869,,nan
very_low_snr_-25,70,40001,4,4,1,False,10.000202256145595,gaussian,True,1.00005296312336,False,0.2524104999611154,3.99999817;7.99992857;13.0000889;14.0000235,14.0002004,,nan
very_low_snr_-25,71,40001,4,4,1,False,10.000134669326712,gaussian,True,1.0000473472869635,False,0.09910689998650923,3.99999817;7.99992857;13.0000889;14.0000235,14.0001328,,nan
very_low_snr_-25,72,40001,4,4,2,False,5.000060538105551,gaussian,True,1.0000629536481485,False,0.336018200032413,3.99999817;7.99992857;13.0000889;14.0000235,8.00006932;13.9999785,,nan
very_low_snr_-25,73,40001,4,4,1,False,10.00011489249853,gaussian,True,1.0000456375869688,False,0.12556670000776649,3.99999817;7.99992857;13.0000889;14.0000235,14.0001131,,nan
very_low_snr_-25,74,40001,4,4,2,False,4.999969163334344,gaussian,True,1.0000892124426675,False,0.33178599999519065,3.99999817;7.99992857;13.0000889;14.0000235,7.99982058;14.0000445,,nan
very_low_snr_-25,75,40001,4,4,1,False,10.000072887461219,gaussian,True,1.000041914081595,False,0.25628000003052875,3.99999817;7.99992857;13.0000889;14.0000235,14.0000711,,nan
very_low_snr_-25,76,40001,4,4,1,False,10.000013701649795,gaussian,True,1.0000364718823325,False,0.3030578999896534,3.99999817;7.99992857;13.0000889;14.0000235,14.0000119,,nan
very_low_snr_-25,77,40001,4,4,1,False,10.000112296444453,gaussian,True,1.0000454110430788,False,0.11459640000248328,3.99999817;7.99992857;13.0000889;14.0000235,14.0001105,,nan
very_low_snr_-25,78,40001,4,4,2,False,5.000122815773256,gaussian,True,1.000094926848626,False,0.3211909999954514,3.99999817;7.99992857;13.0000889;14.0000235,8.00034103;13.9998313,,nan
very_low_snr_-25,79,40001,4,4,1,False,10.000227459167984,gaussian,True,1.000054961597988,False,0.2577729999902658,3.99999817;7.99992857;13.0000889;14.0000235,14.0002256,,nan
very_low_snr_-25,80,40001,4,4,1,False,10.000384392842772,gaussian,True,1.0000660912922508,False,0.12606380000943318,3.99999817;7.99992857;13.0000889;14.0000235,14.0003826,,nan
very_low_snr_-25,81,40001,4,4,1,False,10.00019744279663,gaussian,True,1.000052575344489,False,0.2519050000119023,3.99999817;7.99992857;13.0000889;14.0000235,14.0001956,,nan
very_low_snr_-25,82,40001,4,4,1,False,10.000203247750019,gaussian,True,1.0000530427699337,False,0.1188939000130631,3.99999817;7.99992857;13.0000889;14.0000235,14.0002014,,nan
very_low_snr_-25,83,40001,4,4,1,False,10.000040509121838,gaussian,True,1.0000389636793205,False,0.25471800001105294,3.99999817;7.99992857;13.0000889;14.0000235,14.0000387,,nan
very_low_snr_-25,84,40001,4,4,1,False,9.999958337582925,gaussian,True,1.0000311979189451,False,0.12530890002381057,3.99999817;7.99992857;13.0000889;14.0000235,13.9999565,,nan
